image_no,file,category,subtype,luma,saturation,contrast,key,temperature,saturation_class,contrast_class,learning_score,tier,analysis_note
252,00252.webp,illustration,main_story_cut,52.4,131.5,46.2,low-key,cool,vivid,medium-contrast,95,S,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
253,00253.webp,illustration,main_story_cut,143.8,50.3,92.5,mid-key,cool,moderate,strong-contrast,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
254,00254.webp,illustration,main_story_cut,68.0,110.4,58.7,low-key,balanced,vivid,medium-contrast,89,A,"low-key, balanced, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
255,00255.webp,illustration,main_story_cut,108.3,90.7,76.6,mid-key,balanced,vivid,strong-contrast,91,A,"mid-key, balanced, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
256,00256.webp,illustration,main_story_cut,125.1,81.2,85.0,mid-key,warm,moderate,strong-contrast,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
257,00257.webp,illustration,main_story_cut,103.1,49.8,76.0,low-key,balanced,moderate,strong-contrast,95,S,"low-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
258,00258.webp,illustration,main_story_cut,62.3,124.6,49.0,low-key,cool,vivid,medium-contrast,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
259,00259.webp,illustration,main_story_cut,56.9,109.6,46.0,low-key,cool,vivid,medium-contrast,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
260,00260.webp,illustration,main_story_cut,131.9,86.2,101.4,mid-key,cool,moderate,strong-contrast,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
261,00261.webp,illustration,main_story_cut,139.6,70.2,92.4,mid-key,warm,moderate,strong-contrast,97,S,Close portrait at golden hour uses very high warm exposure to move from crisis into emotional release; face and eye become the entire scene.
262,00262.webp,illustration,main_story_cut,156.6,79.3,94.6,mid-key,warm,moderate,strong-contrast,97,S,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
263,00263.webp,illustration,main_story_cut,159.1,76.5,96.0,mid-key,warm,moderate,strong-contrast,96,S,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
264,00264.webp,illustration,main_story_cut,134.8,104.2,90.6,mid-key,warm,vivid,strong-contrast,98,S,Two-character sunset wide shot uses long shadows and near-silhouettes to externalize separation/reconciliation through spacing.
265,00265.webp,illustration,main_story_cut,148.6,80.5,96.5,mid-key,warm,moderate,strong-contrast,98,S,Embrace at sunset compresses the frame and removes background detail; body contact becomes the primary story information.
266,00266.webp,illustration,main_story_cut,141.7,93.4,88.7,mid-key,warm,vivid,strong-contrast,97,S,Tearful close embrace uses flare and overexposed rim light; warmth is deliberately allowed to bloom to prioritize emotion over texture.
267,00267.webp,illustration,main_story_cut,129.4,87.7,81.8,mid-key,warm,moderate,strong-contrast,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
268,00268.webp,illustration,main_story_cut,112.6,90.3,79.6,mid-key,warm,vivid,strong-contrast,96,S,Small solitary figure against a huge sunset horizon demonstrates emotional negative space: tiny scale + warm emptiness = aftermath.
269,00269.webp,illustration,main_story_cut,119.7,54.0,91.3,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
270,00270.webp,illustration,main_story_cut,118.7,55.4,90.9,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
271,00271.webp,illustration,main_story_cut,152.4,45.2,98.2,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
272,00272.webp,illustration,main_story_cut,149.2,53.6,96.0,mid-key,cool,moderate,strong-contrast,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
273,00273.webp,illustration,main_story_cut,147.7,54.0,92.8,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
274,00274.webp,illustration,main_story_cut,85.9,152.9,79.7,low-key,cool,vivid,strong-contrast,95,S,"low-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
275,00275.webp,illustration,main_story_cut,107.7,106.1,78.0,mid-key,cool,vivid,strong-contrast,91,A,"mid-key, cool, vivid, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
276,00276.webp,illustration,main_story_cut,162.6,40.2,99.5,mid-key,balanced,muted,strong-contrast,90,A,"mid-key, balanced, muted, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
277,00277.webp,illustration,main_story_cut,88.8,120.1,66.2,low-key,cool,vivid,medium-contrast,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
278,00278.webp,illustration,main_story_cut,39.8,121.7,51.0,low-key,cool,vivid,medium-contrast,97,S,Star-field/blue night image reduces physical context and uses particles as emotional atmosphere; useful for transition or memory states.
279,00279.webp,illustration,main_story_cut,72.7,182.2,54.4,low-key,cool,vivid,medium-contrast,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
280,00280.webp,illustration,main_story_cut,73.8,162.2,62.3,low-key,cool,vivid,medium-contrast,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
281,00281.webp,illustration,main_story_cut,71.3,177.5,60.7,low-key,cool,vivid,medium-contrast,89,A,"low-key, cool, vivid, medium-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
282,00282.webp,illustration,main_story_cut,109.3,88.2,77.4,mid-key,cool,moderate,strong-contrast,98,S,Ocean sunset combines cool water/sky with warm horizon break; reflected light creates a calm resolution image with large spatial breathing room.
283,00283.webp,illustration,main_story_cut,105.6,85.9,75.3,mid-key,cool,moderate,strong-contrast,90,A,"mid-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
284,00284.webp,illustration,main_story_cut,144.5,49.6,95.8,mid-key,warm,moderate,strong-contrast,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
285,00285.webp,illustration,main_story_cut,70.5,87.9,73.6,low-key,cool,moderate,strong-contrast,90,A,"low-key, cool, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
286,00286.webp,illustration,main_story_cut,135.8,72.9,83.7,mid-key,warm,moderate,strong-contrast,90,A,"mid-key, warm, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
287,00287.webp,illustration,main_story_cut,108.0,51.6,79.8,mid-key,balanced,moderate,strong-contrast,90,A,"mid-key, balanced, moderate, strong-contrast; narrative cut. Useful for storyboard beat, color-script state, character spacing and environment-as-story rather than isolated character rendering."
288,00288.webp,illustration,main_story_cut,118.4,79.6,85.7,mid-key,cool,moderate,strong-contrast,95,S,City-versus-giant-mecha shot uses clean daylight and huge scale contrast; wide composition protects spatial clarity despite spectacle.
289,00289.webp,illustration,main_story_cut,95.9,86.2,77.8,low-key,cool,moderate,strong-contrast,96,S,Character-versus-mecha framing brings giant mechanical form close while keeping faces readable; foreground scale contrast drives urgency.
290,00290.webp,illustration,main_story_rough,76.3,122.9,89.9,low-key,cool,vivid,strong-contrast,95,S,"Process evidence: low-key, cool; compare line/rough value plan against color result to learn what survives from composition into final rendering."
291,00291.webp,illustration,main_story_rough,147.7,50.7,100.1,mid-key,balanced,moderate,strong-contrast,90,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
292,00292.webp,illustration,main_story_rough,158.8,37.4,98.2,mid-key,balanced,muted,strong-contrast,90,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
293,00293.webp,illustration,main_story_rough,83.5,100.9,79.3,low-key,cool,vivid,strong-contrast,90,A,"Process evidence: low-key, cool; compare line/rough value plan against color result to learn what survives from composition into final rendering."
294,00294.webp,illustration,main_story_rough,109.1,68.1,95.2,mid-key,balanced,moderate,strong-contrast,95,S,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
295,00295.webp,illustration,main_story_rough,121.4,66.3,94.0,mid-key,balanced,moderate,strong-contrast,95,S,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
296,00296.webp,illustration,main_story_rough,110.6,82.3,91.1,mid-key,balanced,moderate,strong-contrast,95,S,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
297,00297.webp,illustration,main_story_rough,88.4,66.6,73.8,low-key,balanced,moderate,strong-contrast,90,A,"Process evidence: low-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
298,00298.webp,illustration,main_story_rough,73.1,63.3,85.3,low-key,balanced,moderate,strong-contrast,95,S,"Process evidence: low-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
299,00299.webp,illustration,main_story_rough,91.3,89.0,95.3,low-key,warm,moderate,strong-contrast,95,S,"Process evidence: low-key, warm; compare line/rough value plan against color result to learn what survives from composition into final rendering."
300,00300.webp,illustration,main_story_rough,112.9,55.7,83.3,mid-key,balanced,moderate,strong-contrast,90,A,"Process evidence: mid-key, balanced; compare line/rough value plan against color result to learn what survives from composition into final rendering."
301,00301.webp,reference,staff_interview,238.4,0.2,26.0,high-key,balanced,muted,soft-contrast,55,C,Text-heavy production reference. Retained for provenance; not promoted into runtime visual rules without a full textual translation pass.
302,00302.webp,reference,staff_interview,218.1,22.4,62.0,high-key,balanced,muted,medium-contrast,55,C,Text-heavy production reference. Retained for provenance; not promoted into runtime visual rules without a full textual translation pass.
303,00303.webp,reference,staff_interview,237.5,0.2,24.1,high-key,balanced,muted,soft-contrast,55,C,Text-heavy production reference. Retained for provenance; not promoted into runtime visual rules without a full textual translation pass.
304,00304.webp,reference,staff_interview,219.3,16.5,60.3,high-key,balanced,muted,medium-contrast,55,C,Text-heavy production reference. Retained for provenance; not promoted into runtime visual rules without a full textual translation pass.
305,00305.webp,reference,staff_interview,224.2,16.5,49.9,high-key,balanced,muted,medium-contrast,55,C,Text-heavy production reference. Retained for provenance; not promoted into runtime visual rules without a full textual translation pass.
306,00306.webp,front_matter,credits,160.5,89.2,65.3,mid-key,cool,moderate,medium-contrast,10,C,"Reference page; mid-key, cool, moderate."
307,00307.webp,front_matter,credits,253.6,0.4,8.1,high-key,balanced,muted,soft-contrast,10,C,"Reference page; high-key, balanced, muted."
